QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02	R03	R04	R05	R06	R07	R08	R09
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	1	1	1	0	1	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	0	0	0	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	0	0	0	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	0	0	1	0	1	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	0	1	1	0	0	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	1	1	0	1	0	1	0	1	The listed and other aspects of the appointment and release from office of public servants are regulated by the Law on Public Service in the Republic of Belarus, Presidential Decree On certain issues of state statistics bodies No. 445 of 26 August 2008, and Presidential Decree On certain measures to improve personnel management within the system of public bodies No. 557 of 2 November 2011.
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	0	1	1	1	1	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	0	1	1	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	0	0	0	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	1	1	1	0	0	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	1	1	1	1	1	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing	1	0	0	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	0	0	1	0	0	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing	1	0	0	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	114	19	Americas	21	Northern America			Canada	124	CAN				Developed	1	1	1	0	1	1	0	1	The Governor in Council  (GIC) appoints the Chief Statistician to be deputy head. The Chief Statistician will hold office for a term of not more than five (5) years, during good behaviour but may be removed for cause by the GIC. The Chief Statistician is eligible for reappointment for an additional term not exceeding five (5) years. The law provides for interim appointments not exceeding six (6) months in event of absence or incapacity of the Chief Statistician.
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	68	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Cayman Islands	136	CYM				Developing	1	1	1	0	1	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	123	142	Asia	30	Eastern Asia			China	156	CHN				Developing	1	1	1	1	1	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	102	19	Americas	419	Latin America and the Caribbean	5	South America	Colombia	170	COL				Developing	0	0	0	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	34	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Congo	178	COG				Developing	0	0	0	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	90	19	Americas	419	Latin America and the Caribbean	13	Central America	Costa Rica	188	CRI				Developing	1	0	1	1	1	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	47	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Côte d’Ivoire	384	CIV				Developing	0	1	0	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	198	150	Europe	39	Southern Europe			Croatia	191	HRV				Developed	0	0	0	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	170	150	Europe	151	Eastern Europe			Czechia	203	CZE				Developed	1	1	0	0	0	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	182	150	Europe	154	Northern Europe			Denmark	208	DNK				Developed	1	1	1	0	1	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	103	19	Americas	419	Latin America and the Caribbean	5	South America	Ecuador	218	ECU				Developing	0	0	0	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	2	2	Africa	15	Northern Africa			Egypt	818	EGY				Developing	0	0	0	0	0	0	0	1	Presidential Decree
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	36	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Equatorial Guinea	226	GNQ				Developing	0	0	0	0	0	0	1	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	183	150	Europe	154	Northern Europe			Estonia	233	EST				Developed	1	1	1	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	185	150	Europe	154	Northern Europe			Finland	246	FIN				Developed	1	1	1	1	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	213	150	Europe	155	Western Europe			France	250	FRA				Developed	1	1	0	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	154	142	Asia	145	Western Asia			Georgia	268	GEO				Developing	1	1	1	0	0	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	214	150	Europe	155	Western Europe			Germany	276	DEU				Developed	1	1	0	1	0	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	200	150	Europe	39	Southern Europe			Greece	300	GRC				Developed	1	1	1	0	1	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	50	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Guinea	324	GIN	1			Developing	0	0	0	0	0	0	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	93	19	Americas	419	Latin America and the Caribbean	13	Central America	Honduras	340	HND				Developing	1	0	0	0	0	1	1	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	171	150	Europe	151	Eastern Europe			Hungary	348	HUN				Developed	1	1	1	0	1	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	186	150	Europe	154	Northern Europe			Iceland	352	ISL				Developed	0	1	1	1	0	1	0	0	
Q02.2a	Aspects regulated in rules for appointment and dismissal of the head of NSO	155	142	Asia	145	Western Asia			Iraq	368	IRQ				Developing	1	1	1	1	1	0	0	0	
