QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01	R02
Q08.3	Frequency of meetings between producers of official statistics during the past five years	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	Once per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	Once per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	Other	Over the past two years, approximately twice per year as part of IDB funded project for organizing and strengthening the NSS
Q08.3	Frequency of meetings between producers of official statistics during the past five years	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	Twice over the five-year period	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	Once per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	114	19	Americas	21	Northern America			Canada	124	CAN				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	68	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Cayman Islands	136	CYM				Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	123	142	Asia	30	Eastern Asia			China	156	CHN				Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	102	19	Americas	419	Latin America and the Caribbean	5	South America	Colombia	170	COL				Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	34	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Congo	178	COG				Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	90	19	Americas	419	Latin America and the Caribbean	13	Central America	Costa Rica	188	CRI				Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	47	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Côte d’Ivoire	384	CIV				Developing	Once over the five-year period	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	198	150	Europe	39	Southern Europe			Croatia	191	HRV				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	170	150	Europe	151	Eastern Europe			Czechia	203	CZE				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	182	150	Europe	154	Northern Europe			Denmark	208	DNK				Developed	Other	For EU statististics; once a year
Q08.3	Frequency of meetings between producers of official statistics during the past five years	103	19	Americas	419	Latin America and the Caribbean	5	South America	Ecuador	218	ECU				Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	2	2	Africa	15	Northern Africa			Egypt	818	EGY				Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	36	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Equatorial Guinea	226	GNQ				Developing	Once per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	183	150	Europe	154	Northern Europe			Estonia	233	EST				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	185	150	Europe	154	Northern Europe			Finland	246	FIN				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	213	150	Europe	155	Western Europe			France	250	FRA				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	154	142	Asia	145	Western Asia			Georgia	268	GEO				Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	214	150	Europe	155	Western Europe			Germany	276	DEU				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	200	150	Europe	39	Southern Europe			Greece	300	GRC				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	50	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Guinea	324	GIN	1			Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	93	19	Americas	419	Latin America and the Caribbean	13	Central America	Honduras	340	HND				Developing	Twice over the five-year period	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	171	150	Europe	151	Eastern Europe			Hungary	348	HUN				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	186	150	Europe	154	Northern Europe			Iceland	352	ISL				Developed	Other	Central bank once a year, others less frequentlyhers less frequ
Q08.3	Frequency of meetings between producers of official statistics during the past five years	155	142	Asia	145	Western Asia			Iraq	368	IRQ				Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	187	150	Europe	154	Northern Europe			Ireland	372	IRL				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	145	142	Asia	34	Southern Asia			Iran (Islamic Republic of)	364	IRN				Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	156	142	Asia	145	Western Asia			Israel	376	ISR				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	202	150	Europe	39	Southern Europe			Italy	380	ITA				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	76	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Jamaica	388	JAM			1	Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	157	142	Asia	145	Western Asia			Jordan	400	JOR				Developing	Once per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	133	142	Asia	35	South-eastern Asia			Lao People's Democratic Republic	418	LAO	1	1		Developing	Once per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	189	150	Europe	154	Northern Europe			Latvia	428	LVA				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	215	150	Europe	155	Western Europe			Liechtenstein	438	LIE				Developed	None of the above	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	190	150	Europe	154	Northern Europe			Lithuania	440	LTU				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	216	150	Europe	155	Western Europe			Luxembourg	442	LUX				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	210	150	Europe	39	Southern Europe			The former Yugoslav Republic of Macedonia	807	MKD		1		Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	134	142	Asia	35	South-eastern Asia			Malaysia	458	MYS				Developing	None of the above	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	18	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mauritius	480	MUS			1	Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	94	19	Americas	419	Latin America and the Caribbean	13	Central America	Mexico	484	MEX				Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	128	142	Asia	30	Eastern Asia			Mongolia	496	MNG		1		Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	20	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mozambique	508	MOZ	1			Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	135	142	Asia	35	South-eastern Asia			Myanmar	104	MMR	1			Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	42	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Namibia	516	NAM				Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	224	9	Oceania	53	Australia and New Zealand			New Zealand	554	NZL				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	191	150	Europe	154	Northern Europe			Norway	578	NOR				Developed	Once per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	160	142	Asia	145	Western Asia			Oman	512	OMN				Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	163	142	Asia	145	Western Asia			State of Palestine	275	PSE				Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	228	9	Oceania	54	Melanesia			Papua New Guinea	598	PNG			1	Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	108	19	Americas	419	Latin America and the Caribbean	5	South America	Peru	604	PER				Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	136	142	Asia	35	South-eastern Asia			Philippines	608	PHL				Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	172	150	Europe	151	Eastern Europe			Poland	616	POL				Developed	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	161	142	Asia	145	Western Asia			Qatar	634	QAT				Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	150	142	Asia	145	Western Asia			Armenia	51	ARM		1		Developing	Twice or more per year	
Q08.3	Frequency of meetings between producers of official statistics during the past five years	173	150	Europe	151	Eastern Europe			Republic of Moldova	498	MDA		1		Developed	Twice or more per year	
