QuestionID	QuestionText	BlockID	BlockText	Answer	Africa.N	Americas.N	Asia.N	Europe.N	Oceania.N	TOTAL.N	Africa.P	Americas.P	Asia.P	Europe.P	Oceania.P	TOTAL.P
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R01	1	1	10	6	10	11	1	38	58.8235294117647	46.1538461538462	41.6666666666667	31.4285714285714	25	40.8602150537634
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R02	1	1	4	4	3	7		18	23.5294117647059	30.7692307692308	12.5	20		19.3548387096774
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R03	1	1	3	1	3	7		14	17.6470588235294	7.69230769230769	12.5	20		15.0537634408602
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R04	1	1	9	7	16	20	2	54	52.9411764705882	53.8461538461538	66.6666666666667	57.1428571428571	50	58.0645161290323
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R05	1	1	4	6	2	9	1	22	23.5294117647059	46.1538461538462	8.33333333333333	25.7142857142857	25	23.6559139784946
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	1	Aggregates - under condition of attribution of the source; Anonymized microdata â€“ any re-distribution is not foreseen.				1		1				2.85714285714286		1.0752688172043
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	1	Aggregates can be re-distributed for commercial purposes. Anonymized microdata cannot be re-distributed under any circumstances.				1		1				2.85714285714286		1.0752688172043
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	1	Anonymised microdata cannot be redistributed				1		1				2.85714285714286		1.0752688172043
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	1	Anonymised microdata cannot be redistributed but others can such as data downloads available in proprietary formats on the website of Statistics Mauritius.	1					1	5.88235294117647					1.0752688172043
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	1	By negotiation	1					1	5.88235294117647					1.0752688172043
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	1	For research. Only Danish research environments are granted authorisation. Access is given to anonymised micro data.				1		1				2.85714285714286		1.0752688172043
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	1	In conformity with Law 226/2009 and Reg. No. 557/2013.				1		1				2.85714285714286		1.0752688172043
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	1	Microdata canÂ´t be re-distributed				1		1				2.85714285714286		1.0752688172043
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	1	N/A  The conditions in which (post-release) micro data is available may happen, varying amongst agencies.  For example, to access certain Census Bureau microdata, you have to be a sworn Census Bureau employee.		1				1		7.69230769230769				1.0752688172043
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	1	Never, unless express approval from SIB is obtained		1				1		7.69230769230769				1.0752688172043
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	1	No			1			1			4.16666666666667			1.0752688172043
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	1	Not applicable	1	1				2	5.88235294117647	7.69230769230769				2.1505376344086
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	1	Not for anonymised microdata			1			1			4.16666666666667			1.0752688172043
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	1	Only aggregates can be distributed for any purposes (commercial and non-commercial).				1		1				2.85714285714286		1.0752688172043
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	1	Other: Statistics Canada's open license now applies to public use microdata files.		1				1		7.69230769230769				1.0752688172043
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	1	Under condition of respecting data protection rules				1		1				2.85714285714286		1.0752688172043
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	1	free of charge		1				1		7.69230769230769				1.0752688172043
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	1	if bilateral agreement is made and a minimal fee is paid					1	1					25	1.0752688172043
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	1	only aggregated datrasets for non-commercial purposes with the indication of the source				1		1				2.85714285714286		1.0752688172043
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	1	only aggregates can be re-distributed		1				1		7.69230769230769				1.0752688172043
Q01.7b	Conditions for re-distribution of anonymized microdata data and aggregates	R06	1	quelques microdonnées sont fournies aux bureaux d'étude privés contre paiement marginal	1					1	5.88235294117647					1.0752688172043
