QuestionID	QuestionText	BlockID	BlockText	Answer	Africa.N	Americas.N	Asia.N	Europe.N	Oceania.N	TOTAL.N	Africa.P	Americas.P	Asia.P	Europe.P	Oceania.P	TOTAL.P
Q01.2a	Time span of current NSDS	R01	1	2011			1		1	2			4.16666666666667		25	2.1505376344086
Q01.2a	Time span of current NSDS	R01	1	2013	2			4		6	11.7647058823529			11.4285714285714		6.45161290322581
Q01.2a	Time span of current NSDS	R01	1	2014	1			1		2	5.88235294117647			2.85714285714286		2.1505376344086
Q01.2a	Time span of current NSDS	R01	1	2015	2	1	2	2		7	11.7647058823529	7.69230769230769	8.33333333333333	5.71428571428571		7.52688172043011
Q01.2a	Time span of current NSDS	R01	1	2016	3	1	3	3		10	17.6470588235294	7.69230769230769	12.5	8.57142857142857		10.752688172043
Q01.2a	Time span of current NSDS	R01	1	2017	3	2	3	2		10	17.6470588235294	15.3846153846154	12.5	5.71428571428571		10.752688172043
Q01.2a	Time span of current NSDS	R01	1	2018	1	2	4	6	1	14	5.88235294117647	15.3846153846154	16.6666666666667	17.1428571428571	25	15.0537634408602
Q01.2a	Time span of current NSDS	R01	1	2019			1	2		3			4.16666666666667	5.71428571428571		3.2258064516129
Q01.2a	Time span of current NSDS	R02	1	2018			1			1			4.16666666666667			1.0752688172043
Q01.2a	Time span of current NSDS	R02	1	2019	2			2		4	11.7647058823529			5.71428571428571		4.3010752688172
Q01.2a	Time span of current NSDS	R02	1	2020	5	2	4	10		21	29.4117647058824	15.3846153846154	16.6666666666667	28.5714285714286		22.5806451612903
Q01.2a	Time span of current NSDS	R02	1	2021	1		3	1	1	6	5.88235294117647		12.5	2.85714285714286	25	6.45161290322581
Q01.2a	Time span of current NSDS	R02	1	2022	3	3	3	6		15	17.6470588235294	23.0769230769231	12.5	17.1428571428571		16.1290322580645
Q01.2a	Time span of current NSDS	R02	1	2023			2	1		3			8.33333333333333	2.85714285714286		3.2258064516129
Q01.2a	Time span of current NSDS	R02	1	2025	1		1			2	5.88235294117647		4.16666666666667			2.1505376344086
Q01.2a	Time span of current NSDS	R02	1	2027					1	1					25	1.0752688172043
Q01.2a	Time span of current NSDS	R02	1	2040		1				1		7.69230769230769				1.0752688172043
