QuestionID	QuestionText	BlockID	BlockText	Answer	Africa.N	Americas.N	Asia.N	Europe.N	Oceania.N	TOTAL.N	Africa.P	Americas.P	Asia.P	Europe.P	Oceania.P	TOTAL.P
Q01.7a	Conditions for online access to aggregates and/or microdata	R01	For a fee	1	2	1	8	8	2	21	11.7647058823529	7.69230769230769	33.3333333333333	22.8571428571429	50	22.5806451612903
Q01.7a	Conditions for online access to aggregates and/or microdata	R02	After registration on the website	1	3	2	5	6	1	17	17.6470588235294	15.3846153846154	20.8333333333333	17.1428571428571	25	18.2795698924731
Q01.7a	Conditions for online access to aggregates and/or microdata	R03	Under publicly available terms of use	1	6	10	14	23	3	56	35.2941176470588	76.9230769230769	58.3333333333333	65.7142857142857	75	60.2150537634409
Q01.7a	Conditions for online access to aggregates and/or microdata	R04	After signing a licensing agreement	1	1	4	8	12	2	27	5.88235294117647	30.7692307692308	33.3333333333333	34.2857142857143	50	29.0322580645161
Q01.7a	Conditions for online access to aggregates and/or microdata	R05	Other	1	7	6	4	8		25	41.1764705882353	46.1538461538462	16.6666666666667	22.8571428571429		26.8817204301075
Q01.7a	Conditions for online access to aggregates and/or microdata	R06	Other (detail)	According to the data dissemination policy			1			1			4.16666666666667			1.0752688172043
Q01.7a	Conditions for online access to aggregates and/or microdata	R06	Other (detail)	Aggregated official statistics and publicly available anonymised microdata are available free of charge and without pre-registration.				1		1				2.85714285714286		1.0752688172043
Q01.7a	Conditions for online access to aggregates and/or microdata	R06	Other (detail)	All standard aggregate data is provided online and free of charge.  It is governed by an open license:  https://www.statcan.gc.ca/eng/reference/licence		1				1		7.69230769230769				1.0752688172043
Q01.7a	Conditions for online access to aggregates and/or microdata	R06	Other (detail)	All statistical information produced according to the Official Statistics Work Programme is published and provided for the general public free of charge on the Official Statistics Portal. Statistics Lithuania also provides statistical information on individual request (enquiry). Individual request (enquiry) is a request by a user to provide him/her with a certain piece of statistical information, submitted via the Official Statistics Portal. A response to the request (enquiry) is prepared by the divisions of Statistics Lithuania within the area of their competence. Statistical information collected, processed and published under the Official Statistics Work Programme on the Official Statistics Portal and released according to the Catalogue of Statistical Publications is available free of charge. Responses to statistical enquiries are to be paid for only if additional or more detail statistical information is requested than indicated in the Official Statistics Work Programme. Confidential statistical data can be provided for scientific purposes to the researchers of national and foreign higher education and research institutions as defined in the Law on Higher Education and Research of the Republic of Lithuania; also to researchers of institutions mentioned in 2012/200/EU: Commission Decision of 18 April 2012 amending Decision 2004/452/EC laying down a list of bodies whose researchers may access confidential data for scientific purposes. Confidential statistical data are provided on an electronic medium or a remote desktop, in a manner that does not enable the direct identification of the respondent. Strict protocols apply to external users accessing statistical microdata for research purposes.				1		1				2.85714285714286		1.0752688172043
Q01.7a	Conditions for online access to aggregates and/or microdata	R06	Other (detail)	By applying for access through Microdata Access Program		1				1		7.69230769230769				1.0752688172043
Q01.7a	Conditions for online access to aggregates and/or microdata	R06	Other (detail)	By negotiation	1					1	5.88235294117647					1.0752688172043
Q01.7a	Conditions for online access to aggregates and/or microdata	R06	Other (detail)	Everybode has free and eqaul access to aggregated data. Access to microdata is given only to reasearchers and others that are approved for this.				1		1				2.85714285714286		1.0752688172043
Q01.7a	Conditions for online access to aggregates and/or microdata	R06	Other (detail)	For free and we do not have any licensing agreement or terms of use per se.	1					1	5.88235294117647					1.0752688172043
Q01.7a	Conditions for online access to aggregates and/or microdata	R06	Other (detail)	For free at the statistical portal, and open data site under condition to mention the data source.				1		1				2.85714285714286		1.0752688172043
Q01.7a	Conditions for online access to aggregates and/or microdata	R06	Other (detail)	For free.				1		1				2.85714285714286		1.0752688172043
Q01.7a	Conditions for online access to aggregates and/or microdata	R06	Other (detail)	Free	1					1	5.88235294117647					1.0752688172043
Q01.7a	Conditions for online access to aggregates and/or microdata	R06	Other (detail)	Free of charge and so far no registration necessary (will change soon)		1				1		7.69230769230769				1.0752688172043
Q01.7a	Conditions for online access to aggregates and/or microdata	R06	Other (detail)	L'accès est libre et gratuit	1					1	5.88235294117647					1.0752688172043
Q01.7a	Conditions for online access to aggregates and/or microdata	R06	Other (detail)	Les données peuvent àªtre consultées sans coà»t et sans contrat de licence	1					1	5.88235294117647					1.0752688172043
Q01.7a	Conditions for online access to aggregates and/or microdata	R06	Other (detail)	Microdata can be accessed for scientific purposes after signing an agreement, which is usually done for a fee. Aggregates can be accessed online without any restrictions.				1		1				2.85714285714286		1.0752688172043
Q01.7a	Conditions for online access to aggregates and/or microdata	R06	Other (detail)	Not applicable. Currently working on the development for publishing micro data	1					1	5.88235294117647					1.0752688172043
Q01.7a	Conditions for online access to aggregates and/or microdata	R06	Other (detail)	On the online data on free accessible.				1		1				2.85714285714286		1.0752688172043
Q01.7a	Conditions for online access to aggregates and/or microdata	R06	Other (detail)	They are published on the web INEC		1				1		7.69230769230769				1.0752688172043
Q01.7a	Conditions for online access to aggregates and/or microdata	R06	Other (detail)	accès gratuit et libre pour les statistiques et les microdonnées anonymisées en ligne	1					1	5.88235294117647					1.0752688172043
Q01.7a	Conditions for online access to aggregates and/or microdata	R06	Other (detail)	at no cost to user		1				1		7.69230769230769				1.0752688172043
Q01.7a	Conditions for online access to aggregates and/or microdata	R06	Other (detail)	data warehouse available online, user can access without registration			1			1			4.16666666666667			1.0752688172043
Q01.7a	Conditions for online access to aggregates and/or microdata	R06	Other (detail)	free of charge		1				1		7.69230769230769				1.0752688172043
Q01.7a	Conditions for online access to aggregates and/or microdata	R06	Other (detail)	memorandum of understanding (MoU) - Selected Micro Data			1			1			4.16666666666667			1.0752688172043
Q01.7a	Conditions for online access to aggregates and/or microdata	R06	Other (detail)	www.microdata.no				1		1				2.85714285714286		1.0752688172043
Q01.7a	Conditions for online access to aggregates and/or microdata	R06	Other (detail)	x			1			1			4.16666666666667			1.0752688172043
