QuestionID	QuestionText	OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	R01
Q01.6b	Additional details on pre-release	195	150	Europe	39	Southern Europe			Albania	8	ALB				Developed	
Q01.6b	Additional details on pre-release	30	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Angola	24	AGO	1			Developing	
Q01.6b	Additional details on pre-release	97	19	Americas	419	Latin America and the Caribbean	5	South America	Argentina	32	ARG				Developing	Some Ministries receive statistics up to 24 hs in advance in connection with their respective official release date. All these procedures are being carried out in accordance with the SDDS standards and knowledge.
Q01.6b	Additional details on pre-release	220	9	Oceania	53	Australia and New Zealand			Australia	36	AUS				Developed	Please refer to ABS: Policy on Pre-Release Access to ABS Statistics and Publications.
Q01.6b	Additional details on pre-release	211	150	Europe	155	Western Europe			Austria	40	AUT				Developed	
Q01.6b	Additional details on pre-release	168	150	Europe	151	Eastern Europe			Belarus	112	BLR				Developed	
Q01.6b	Additional details on pre-release	212	150	Europe	155	Western Europe			Belgium	56	BEL				Developed	
Q01.6b	Additional details on pre-release	89	19	Americas	419	Latin America and the Caribbean	13	Central America	Belize	84	BLZ			1	Developing	Pre-releases provided to key parties (Prime Minister's Office, Minister responsible for Statistics, NSO Board of Directors), no earlier than 24 hours prior to release and no later than 2 hours prior to release. This is provided so that these parties may be prepared for queries from the media and the public regarding statistics being published.
Q01.6b	Additional details on pre-release	143	142	Asia	34	Southern Asia			Bhutan	64	BTN	1	1		Developing	
Q01.6b	Additional details on pre-release	197	150	Europe	39	Southern Europe			Bosnia and Herzegovina	70	BIH				Developed	
Q01.6b	Additional details on pre-release	39	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Botswana	72	BWA		1		Developing	
Q01.6b	Additional details on pre-release	130	142	Asia	35	South-eastern Asia			Brunei Darussalam	96	BRN				Developing	
Q01.6b	Additional details on pre-release	169	150	Europe	151	Eastern Europe			Bulgaria	100	BGR				Developed	The list of recipients is annually approved by the NSI President.
Q01.6b	Additional details on pre-release	46	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Cabo Verde	132	CPV			1	Developing	
Q01.6b	Additional details on pre-release	114	19	Americas	21	Northern America			Canada	124	CAN				Developed	Access to pre-release information is permitted in specific circumstances according to strict rules outlined in our Agency's Official Release Policy.
Q01.6b	Additional details on pre-release	68	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Cayman Islands	136	CYM				Developing	The reports are submitted to the Ministry of Finance and Economic Development which forwards it to the Cabinet through the Minister for notation prior to release, in accordance with Section 8 of the Statistics Law
Q01.6b	Additional details on pre-release	123	142	Asia	30	Eastern Asia			China	156	CHN				Developing	We publish a pre-release form before we release the data officialy.
Q01.6b	Additional details on pre-release	102	19	Americas	419	Latin America and the Caribbean	5	South America	Colombia	170	COL				Developing	
Q01.6b	Additional details on pre-release	34	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Congo	178	COG				Developing	
Q01.6b	Additional details on pre-release	90	19	Americas	419	Latin America and the Caribbean	13	Central America	Costa Rica	188	CRI				Developing	The statistical results delivery policy of the INEC establishes that the results are delivered to government authorities corresponding to the subject (specifically to the minister) 24 hours before its release.
Q01.6b	Additional details on pre-release	47	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Côte d’Ivoire	384	CIV				Developing	
Q01.6b	Additional details on pre-release	198	150	Europe	39	Southern Europe			Croatia	191	HRV				Developed	
Q01.6b	Additional details on pre-release	170	150	Europe	151	Eastern Europe			Czechia	203	CZE				Developed	Up to 2016 news agencies had access to some statistics 20 minutes prior to their public release under embargo. In 2016 this practice ended.
Q01.6b	Additional details on pre-release	182	150	Europe	154	Northern Europe			Denmark	208	DNK				Developed	
Q01.6b	Additional details on pre-release	103	19	Americas	419	Latin America and the Caribbean	5	South America	Ecuador	218	ECU				Developing	
Q01.6b	Additional details on pre-release	2	2	Africa	15	Northern Africa			Egypt	818	EGY				Developing	
Q01.6b	Additional details on pre-release	36	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Equatorial Guinea	226	GNQ				Developing	
